Citation,DOI,Publication_Year,Paper_ID,Observation_ID,Cohort,Cohort_ID,Latitude,Longitude,Climate_region,Continent,Country,Ecosystem,Plant_invader,Scientific_name,Invsive_plant_ID,Response_variable,Response_variable_broad_cat,Response_variable_classification,Response_plant,Response_plant_scientific_name,Invader_Growth_form,Response_Plant_Growth_form,Growth_form_simililarity,Invader_Flower_symmetry,Response_plant_Flower_symmetry,Flower_symmetry_similarity,Invader_Flower_colour,Response_plant_Flower_colour,Flower_colour_similarity,Pollinator_Taxonomic_affilaition,Order,Source,Study_design,Comparison,n1i,m1i,sd1i,n2i,m2i,sd2i
"Gibson et al., 2013. Biological Conservation, 157: 196-203",10.1016/j.biocon.2012.07.011,2013,PR52,OBS279,CHT96,CHT95,-34.4735146,19.4491427,Non-tropical,Africa,South Africa,Shrubland,Acacia saligna,Acacia saligna,SP01,Visitation rate to Muraltia satureioides (Otherhymenoptera),Visitation rate,Pollination,Muraltia satureioides,Muraltia saturejoides,Woody,Woody,Similar,Actinomorphic,Zygomorphic,Dissimilar,Yellow,Purple/Pink/White/Mauve/lilac,Dissimilar,Insecta,Hymnoptera,Raw data (Appendix B),Observational,Invaded vs Uninvaded,9,0.01,0.02,9,0,0
"Gibson et al., 2013. Biological Conservation, 157: 196-203",10.1016/j.biocon.2012.07.011,2013,PR52,OBS280,CHT97,CHT96,-34.5567731,19.4569889,Non-tropical,Africa,South Africa,Shrubland,Acacia saligna,Acacia saligna,SP01,Visitation rate to Pelargonium betulinum (Beetles),Visitation rate,Pollination,Pelargonium betulinum,Pelargonium betulinum,Woody,Woody,Similar,Actinomorphic,Zygomorphic,Dissimilar,Yellow,White,Dissimilar,Insecta,Coleoptera,Raw data (Appendix B),Observational,Invaded vs Uninvaded,6,0.69,1.11,6,0.03,0.07
"Gibson et al., 2013. Biological Conservation, 157: 196-203",10.1016/j.biocon.2012.07.011,2013,PR52,OBS281,CHT97,CHT96,-34.5567731,19.4569889,Non-tropical,Africa,South Africa,Shrubland,Acacia saligna,Acacia saligna,SP01,Visitation rate to Pelargonium betulinum (Fly),Visitation rate,Pollination,Pelargonium betulinum,Pelargonium betulinum,Woody,Woody,Similar,Actinomorphic,Zygomorphic,Dissimilar,Yellow,White,Dissimilar,Insecta,Diptera,Raw data (Appendix B),Observational,Invaded vs Uninvaded,6,0.16,0.39,6,0.04,0.06
"Gibson et al., 2013. Biological Conservation, 157: 196-203",10.1016/j.biocon.2012.07.011,2013,PR52,OBS282,CHT97,CHT96,-34.5567731,19.4569889,Non-tropical,Africa,South Africa,Shrubland,Acacia saligna,Acacia saligna,SP01,Visitation rate to Pelargonium betulinum (Small bees),Visitation rate,Pollination,Pelargonium betulinum,Pelargonium betulinum,Woody,Woody,Similar,Actinomorphic,Zygomorphic,Dissimilar,Yellow,White,Dissimilar,Insecta,Hymnoptera,Raw data (Appendix B),Observational,Invaded vs Uninvaded,6,0,0,6,0.22,0.54
"Gibson et al., 2013. Biological Conservation, 157: 196-203",10.1016/j.biocon.2012.07.011,2013,PR52,OBS283,CHT97,CHT96,-34.5567731,19.4569889,Non-tropical,Africa,South Africa,Shrubland,Acacia saligna,Acacia saligna,SP01,Visitation rate to Pelargonium betulinum (Otherhymenoptera),Visitation rate,Pollination,Pelargonium betulinum,Pelargonium betulinum,Woody,Woody,Similar,Actinomorphic,Zygomorphic,Dissimilar,Yellow,White,Dissimilar,Insecta,Hymnoptera,Raw data (Appendix B),Observational,Invaded vs Uninvaded,6,0.08,0.14,6,0.41,0.83
"Gibson et al., 2013. Biological Conservation, 157: 196-203",10.1016/j.biocon.2012.07.011,2013,PR52,OBS284,CHT97,CHT96,-34.5567731,19.4569889,Non-tropical,Africa,South Africa,Shrubland,Acacia saligna,Acacia saligna,SP01,Visitation rate to Pelargonium betulinum (other insects),Visitation rate,Pollination,Pelargonium betulinum,Pelargonium betulinum,Woody,Woody,Similar,Actinomorphic,Zygomorphic,Dissimilar,Yellow,White,Dissimilar,Insecta,Mixed,Raw data (Appendix B),Observational,Invaded vs Uninvaded,6,0.38,0.77,6,0.39,0.56
"Gibson et al., 2013. Biological Conservation, 157: 196-203",10.1016/j.biocon.2012.07.011,2013,PR52,OBS285,CHT98,CHT97,-33.5140054,18.4672839,Non-tropical,Africa,South Africa,Shrubland,Acacia saligna,Acacia saligna,SP01,Visitation rate to Polycarena lilacina (Beetles),Visitation rate,Pollination,Polycarena lilacina,Polycarena lilacina,Woody,Non-woody,Dissimilar,Actinomorphic,Zygomorphic,Dissimilar,Yellow,White/Pink/Purple,Dissimilar,Insecta,Coleoptera,Raw data (Appendix B),Observational,Invaded vs Uninvaded,3,0.03,0.03,3,0,0
"Gibson et al., 2013. Biological Conservation, 157: 196-203",10.1016/j.biocon.2012.07.011,2013,PR52,OBS286,CHT98,CHT97,-33.5140054,18.4672839,Non-tropical,Africa,South Africa,Shrubland,Acacia saligna,Acacia saligna,SP01,Visitation rate to Polycarena lilacina (Fly),Visitation rate,Pollination,Polycarena lilacina,Polycarena lilacina,Woody,Non-woody,Dissimilar,Actinomorphic,Zygomorphic,Dissimilar,Yellow,White/Pink/Purple,Dissimilar,Insecta,Diptera,Raw data (Appendix B),Observational,Invaded vs Uninvaded,3,0.09,0.13,3,0,0
"Gibson et al., 2013. Biological Conservation, 157: 196-203",10.1016/j.biocon.2012.07.011,2013,PR52,OBS287,CHT98,CHT97,-33.5140054,18.4672839,Non-tropical,Africa,South Africa,Shrubland,Acacia saligna,Acacia saligna,SP01,Visitation rate to Polycarena lilacina (Honey bee),Visitation rate,Pollination,Polycarena lilacina,Polycarena lilacina,Woody,Non-woody,Dissimilar,Actinomorphic,Zygomorphic,Dissimilar,Yellow,White/Pink/Purple,Dissimilar,Insecta,Hymnoptera,Raw data (Appendix B),Observational,Invaded vs Uninvaded,3,0.01,0.01,3,0,0
"Gibson et al., 2013. Biological Conservation, 157: 196-203",10.1016/j.biocon.2012.07.011,2013,PR52,OBS288,CHT98,CHT97,-33.5140054,18.4672839,Non-tropical,Africa,South Africa,Shrubland,Acacia saligna,Acacia saligna,SP01,Visitation rate to Polycarena lilacina (Small bees),Visitation rate,Pollination,Polycarena lilacina,Polycarena lilacina,Woody,Non-woody,Dissimilar,Actinomorphic,Zygomorphic,Dissimilar,Yellow,White/Pink/Purple,Dissimilar,Insecta,Hymnoptera,Raw data (Appendix B),Observational,Invaded vs Uninvaded,3,0.03,0.03,3,0,0
"Gibson et al., 2013. Biological Conservation, 157: 196-203",10.1016/j.biocon.2012.07.011,2013,PR52,OBS289,CHT98,CHT97,-33.5140054,18.4672839,Non-tropical,Africa,South Africa,Shrubland,Acacia saligna,Acacia saligna,SP01,Visitation rate to Polycarena lilacina (Otherhymenoptera),Visitation rate,Pollination,Polycarena lilacina,Polycarena lilacina,Woody,Non-woody,Dissimilar,Actinomorphic,Zygomorphic,Dissimilar,Yellow,White/Pink/Purple,Dissimilar,Insecta,Hymnoptera,Raw data (Appendix B),Observational,Invaded vs Uninvaded,3,0.02,0.02,3,0,0
"Gibson et al., 2013. Biological Conservation, 157: 196-203",10.1016/j.biocon.2012.07.011,2013,PR52,OBS290,CHT99,CHT98,-34.4735146,19.4491427,Non-tropical,Africa,South Africa,Shrubland,Acacia saligna,Acacia saligna,SP01,Visitation rate to Roepera fulva (Beetles),Visitation rate,Pollination,Roepera fulva,Roepera fulva,Woody,Woody,Similar,Actinomorphic,Actinomorphic,Similar,Yellow,Yellow,Similar,Insecta,Mixed,Raw data (Appendix B),Observational,Invaded vs Uninvaded,9,1.14,0.92,9,0.05,0.11
"Gibson et al., 2013. Biological Conservation, 157: 196-203",10.1016/j.biocon.2012.07.011,2013,PR52,OBS291,CHT99,CHT98,-34.4735146,19.4491427,Non-tropical,Africa,South Africa,Shrubland,Acacia saligna,Acacia saligna,SP01,Visitation rate to Roepera fulva (Fly),Visitation rate,Pollination,Roepera fulva,Roepera fulva,Woody,Woody,Similar,Actinomorphic,Actinomorphic,Similar,Yellow,Yellow,Similar,Insecta,Mixed,Raw data (Appendix B),Observational,Invaded vs Uninvaded,9,0.05,0.11,9,0.08,0.14
"Gibson et al., 2013. Biological Conservation, 157: 196-203",10.1016/j.biocon.2012.07.011,2013,PR52,OBS292,CHT99,CHT98,-34.4735146,19.4491427,Non-tropical,Africa,South Africa,Shrubland,Acacia saligna,Acacia saligna,SP01,Visitation rate to Roepera fulva (Honey bee),Visitation rate,Pollination,Roepera fulva,Roepera fulva,Woody,Woody,Similar,Actinomorphic,Actinomorphic,Similar,Yellow,Yellow,Similar,Insecta,Mixed,Raw data (Appendix B),Observational,Invaded vs Uninvaded,9,0.04,0.06,9,4.00E-04,0.001
"Gibson et al., 2013. Biological Conservation, 157: 196-203",10.1016/j.biocon.2012.07.011,2013,PR52,OBS293,CHT99,CHT98,-34.4735146,19.4491427,Non-tropical,Africa,South Africa,Shrubland,Acacia saligna,Acacia saligna,SP01,Visitation rate to Roepera fulva (Small bees),Visitation rate,Pollination,Roepera fulva,Roepera fulva,Woody,Woody,Similar,Actinomorphic,Actinomorphic,Similar,Yellow,Yellow,Similar,Insecta,Mixed,Raw data (Appendix B),Observational,Invaded vs Uninvaded,9,0.11,0.22,9,0.03,0.08
"Gibson et al., 2013. Biological Conservation, 157: 196-203",10.1016/j.biocon.2012.07.011,2013,PR52,OBS294,CHT99,CHT98,-34.4735146,19.4491427,Non-tropical,Africa,South Africa,Shrubland,Acacia saligna,Acacia saligna,SP01,Visitation rate to  Roepera fulva (Otherhymenoptera),Visitation rate,Pollination,Roepera fulva,Roepera fulva,Woody,Woody,Similar,Actinomorphic,Actinomorphic,Similar,Yellow,Yellow,Similar,Insecta,Mixed,Raw data (Appendix B),Observational,Invaded vs Uninvaded,9,0.03,0.03,9,0.23,0.21
"Gibson et al., 2013. Biological Conservation, 157: 196-203",10.1016/j.biocon.2012.07.011,2013,PR52,OBS295,CHT99,CHT98,-34.4735146,19.4491427,Non-tropical,Africa,South Africa,Shrubland,Acacia saligna,Acacia saligna,SP01,Visitation rate to Roepera fulva (other insects),Visitation rate,Pollination,Roepera fulva,Roepera fulva,Woody,Woody,Similar,Actinomorphic,Actinomorphic,Similar,Yellow,Yellow,Similar,Insecta,Mixed,Raw data (Appendix B),Observational,Invaded vs Uninvaded,9,0.18,0.22,9,1.03,0.9
"Gibson et al., 2013. Biological Conservation, 157: 196-203",10.1016/j.biocon.2012.07.011,2013,PR52,OBS296,CHT100,CHT99,-33.5140054,18.4672839,Non-tropical,Africa,South Africa,Shrubland,Acacia saligna,Acacia saligna,SP01,Visitation rate to Ursinia anthemoides (Beetles),Visitation rate,Pollination,Ursinia anthemoides,Ursinia anthemoides,Woody,Non-woody,Dissimilar,Actinomorphic,Actinomorphic,Similar,Yellow,Yellow,Similar,Insecta,Coleoptera,Raw data (Appendix B),Observational,Invaded vs Uninvaded,3,0.35,0.25,3,0,0
"Gibson et al., 2013. Biological Conservation, 157: 196-203",10.1016/j.biocon.2012.07.011,2013,PR52,OBS297,CHT100,CHT99,-33.5140054,18.4672839,Non-tropical,Africa,South Africa,Shrubland,Acacia saligna,Acacia saligna,SP01,Visitation rate to Ursinia anthemoides (Fly),Visitation rate,Pollination,Ursinia anthemoides,Ursinia anthemoides,Woody,Non-woody,Dissimilar,Actinomorphic,Actinomorphic,Similar,Yellow,Yellow,Similar,Insecta,Diptera,Raw data (Appendix B),Observational,Invaded vs Uninvaded,3,0.38,0.32,3,0,0
"Gibson et al., 2013. Biological Conservation, 157: 196-203",10.1016/j.biocon.2012.07.011,2013,PR52,OBS298,CHT100,CHT99,-33.5140054,18.4672839,Non-tropical,Africa,South Africa,Shrubland,Acacia saligna,Acacia saligna,SP01,Visitation rate to Ursinia anthemoides (Honey bee),Visitation rate,Pollination,Ursinia anthemoides,Ursinia anthemoides,Woody,Non-woody,Dissimilar,Actinomorphic,Actinomorphic,Similar,Yellow,Yellow,Similar,Insecta,Hymnoptera,Raw data (Appendix B),Observational,Invaded vs Uninvaded,3,0.1,0.04,3,0,0
"Gibson et al., 2013. Biological Conservation, 157: 196-203",10.1016/j.biocon.2012.07.011,2013,PR52,OBS299,CHT100,CHT99,-33.5140054,18.4672839,Non-tropical,Africa,South Africa,Shrubland,Acacia saligna,Acacia saligna,SP01,Visitation rate to Ursinia anthemoides (Small bees),Visitation rate,Pollination,Ursinia anthemoides,Ursinia anthemoides,Woody,Non-woody,Dissimilar,Actinomorphic,Actinomorphic,Similar,Yellow,Yellow,Similar,Insecta,Hymnoptera,Raw data (Appendix B),Observational,Invaded vs Uninvaded,3,0.2,0.08,3,0.006,0.01
"Gibson et al., 2013. Biological Conservation, 157: 196-203",10.1016/j.biocon.2012.07.011,2013,PR52,OBS300,CHT100,CHT99,-33.5140054,18.4672839,Non-tropical,Africa,South Africa,Shrubland,Acacia saligna,Acacia saligna,SP01,Visitation rate to Ursinia anthemoides  (Otherhymenoptera),Visitation rate,Pollination,Ursinia anthemoides,Ursinia anthemoides,Woody,Non-woody,Dissimilar,Actinomorphic,Actinomorphic,Similar,Yellow,Yellow,Similar,Insecta,Hymnoptera,Raw data (Appendix B),Observational,Invaded vs Uninvaded,3,0.25,0.23,3,0.007,0.012
"Shelby & Peterson, 2015. Northwest Science, 89: 47-57",10.3955/046.089.0104,2015,PR53,OBS301,CHT101,CHT100,48.8594793,-122.6890875,Non-tropical,North America,USA,Grassland,Rubus armeniacus,Rubus armeniacus,SP51,Number of visits to Sidalcea hendersonii,Number of visits,Pollination,Sidalcea hendersonii,Sidalcea hendersonii,Woody,Non-woody,Dissimilar,Actinomorphic,Actinomorphic,Similar,White/Pink,Pink/Purple,Similar,Insecta,Mixed,Text,Experimental,Within/Near vs far,15,1.07,0.968245837,15,1.07,0.89078617
"Sakata & Ueyama, 2022. Population Ecology, 64: 336-348",10.1002/1438-390X.12125,2022,PR54,OBS302,CHT102,CHT101,39.800836,140.0436655,Non-tropical,Asia,Japan,Garden,Solidago altissima,Solidago altissima,SP56,Number of visits to Aster microcephalus,Number of visits,Pollination,Aster microcephalus,Aster microcephalus,Non-woody,Non-woody,Similar,Actinomorphic,Actinomorphic,Similar,Yellow,White/Yellow,Similar,Insecta,Mixed,Figure 3e,Experimental,Invaded vs Uninvaded,100,8.48,14.9,100,10.05,9.9
"Sakata & Ueyama, 2022. Population Ecology, 64: 336-348",10.1002/1438-390X.12125,2022,PR54,OBS303,CHT103,CHT102,34.971078,135.9547835,Non-tropical,Asia,Japan,Garden,Solidago altissima,Solidago altissima,SP56,Number of visits to Aster microcephalus,Number of visits,Pollination,Aster microcephalus,Aster microcephalus,Non-woody,Non-woody,Similar,Actinomorphic,Actinomorphic,Similar,Yellow,White/Yellow,Similar,Insecta,Mixed,Figure 3d,Experimental,Invaded vs Uninvaded,60,2.14,8.830402029,70,1.07,2.760978088
"Sakata & Ueyama, 2022. Population Ecology, 64: 336-348",10.1002/1438-390X.12125,2022,PR54,OBS304,CHT102,CHT101,39.800836,140.0436655,Non-tropical,Asia,Japan,Garden,Solidago altissima,Solidago altissima,SP56,Seed set of Aster microcephalus,Seed set,Pollination,Aster microcephalus,Aster microcephalus,Non-woody,Non-woody,Similar,Actinomorphic,Actinomorphic,Similar,Yellow,White/Yellow,Similar,Insecta,Mixed,Figure 4b,Experimental,Invaded vs Uninvaded,10,0.36,0.063245553,10,0.38,0.09486833
"Sakata & Ueyama, 2022. Population Ecology, 64: 336-348",10.1002/1438-390X.12125,2022,PR54,OBS305,CHT103,CHT102,34.971078,135.9547835,Non-tropical,Asia,Japan,Garden,Solidago altissima,Solidago altissima,SP56,Seed set of Aster microcephalus,Seed set,Pollination,Aster microcephalus,Aster microcephalus,Non-woody,Non-woody,Similar,Actinomorphic,Actinomorphic,Similar,Yellow,White/Yellow,Similar,Insecta,Mixed,Figure 4b,Experimental,Invaded vs Uninvaded,10,0.06,0.031622777,10,0.41,0.126491106
"Jakobsson et al., 2015. Basic and Applied Ecology, 16: 120-127",10.1016/j.baae.2014.12.005,2015,PR55,OBS306,CHT104,CHT103,58.36666667,11.5,Non-tropical,Europe,Sweden,Road verge,Lupinus polyphyllus,Lupinus polyphyllus,SP32,Total visitation rate to  Lotus corniculatus,Visitation rate,Pollination,Lotus corniculatus,Lotus corniculatus,Non-woody,Non-woody,Similar,Zygomorphic,Zygomorphic,Similar,Blue,Yellow,Dissimilar,Insecta,Mixed,Figure 1a,Experimental,Within/Near vs far,48,0.096,0.090066642,48,0.037,0.076210236
"Jakobsson et al., 2015. Basic and Applied Ecology, 16: 120-127",10.1016/j.baae.2014.12.005,2015,PR55,OBS307,CHT105,CHT104,58.36666667,11.5,Non-tropical,Europe,Sweden,Road verge,Lupinus polyphyllus,Lupinus polyphyllus,SP32,Bumble bee visitation rate to  Lychnis viscaria,Visitation rate,Pollination,Lychnis viscaria,Viscaria vulgaris,Non-woody,Non-woody,Similar,Zygomorphic,Actinomorphic,Dissimilar,Blue,Magenta,Dissimilar,Insecta,Hymnoptera,Figure 3a,Experimental,Within/Near vs far,64,0.054,0.056,64,0.019,0.064
"Jakobsson et al., 2015. Basic and Applied Ecology, 16: 120-127",10.1016/j.baae.2014.12.005,2015,PR55,OBS308,CHT104,CHT103,58.36666667,11.5,Non-tropical,Europe,Sweden,Road verge,Lupinus polyphyllus,Lupinus polyphyllus,SP32,Bumble bee visitation rate to  Lotus corniculatus,Visitation rate,Pollination,Lotus corniculatus,Lotus corniculatus,Non-woody,Non-woody,Similar,Zygomorphic,Zygomorphic,Similar,Blue,Yellow,Dissimilar,Insecta,Hymnoptera,Figure 1b,Experimental,Within/Near vs far,48,0.075,0.103923048,48,0.031,0.090066642
"Jakobsson et al., 2015. Basic and Applied Ecology, 16: 120-127",10.1016/j.baae.2014.12.005,2015,PR55,OBS309,CHT105,CHT104,58.36666667,11.5,Non-tropical,Europe,Sweden,Road verge,Lupinus polyphyllus,Lupinus polyphyllus,SP32,Solitary bee visitation rate to  Lychnis viscaria,Visitation rate,Pollination,Lychnis viscaria,Viscaria vulgaris,Non-woody,Non-woody,Similar,Zygomorphic,Actinomorphic,Dissimilar,Blue,Magenta,Dissimilar,Insecta,Hymnoptera,Figure 3b,Experimental,Within/Near vs far,64,0.008,0.016,64,0.002,0.008
"Sugiura et al., 2013.  Biological Invasions 15, 157-169",10.1007/s10530-012-0275-0,2013,PR56,OBS310,CHT106,CHT105,27.11666667,142.1666667,Non-tropical,Asia,Japan,Forest,Casuarina equisetifolia,Casuarina equisetifolia,SP12,Species density of bees,Abundance,Pollinator,NA,NA,Woody,NA,,,NA,,,NA,,Insecta,Hymnoptera,Figure 3a,Observational,Invaded vs Uninvaded,3,0.28,0.57,3,0.28,0.57
"Sugiura et al., 2013.  Biological Invasions 15, 157-169",10.1007/s10530-012-0275-0,2013,PR56,OBS311,CHT107,CHT106,27.11666667,142.1666667,Non-tropical,Asia,Japan,Grassland,Casuarina equisetifolia,Casuarina equisetifolia,SP12,Species density of bees,Abundance,Pollinator,NA,NA,Woody,NA,,,NA,,,NA,,Insecta,Hymnoptera,Figure 3a,Observational,Invaded vs Uninvaded,3,0.28,0.57,3,2.26,0.57
"Sugiura et al., 2013.  Biological Invasions 15, 157-169",10.1007/s10530-012-0275-0,2013,PR56,OBS312,CHT106,CHT105,27.11666667,142.1666667,Non-tropical,Asia,Japan,Forest,Casuarina equisetifolia,Casuarina equisetifolia,SP12,Abundance of bees,Abundance,Pollinator,NA,NA,Woody,NA,,,NA,,,NA,,Insecta,Hymnoptera,Figure 3b,Observational,Invaded vs Uninvaded,3,1,2.3,3,0.25,0.57
"Sugiura et al., 2013.  Biological Invasions 15, 157-169",10.1007/s10530-012-0275-0,2013,PR56,OBS313,CHT107,CHT106,27.11666667,142.1666667,Non-tropical,Asia,Japan,Grassland,Casuarina equisetifolia,Casuarina equisetifolia,SP12,Abundance of bees,Abundance,Pollinator,NA,NA,Woody,NA,,,NA,,,NA,,Insecta,Hymnoptera,Figure 3b,Observational,Invaded vs Uninvaded,3,1,2.3,3,42.79,46.48
"Russo et al., 2019. Biological Invasions, 21: 3505-3519",10.1007/s10530-019-02064-z,2019,PR57,OBS314,CHT108,CHT107,40.7097075,-77.9525614,Non-tropical,North America,USA,Cropland,Carduus acanthoides,Carduus acanthoides,SP08,Bee abundance,Abundance,Pollinator,NA,NA,Non-woody,NA,,Actinomorphic,NA,,Purple/Pink,NA,,Insecta,Hymnoptera,Figure 1a,Experimental,Invaded vs Uninvaded,24,15.3,4.605040716,6,6.39,2.596459127
"Russo et al., 2019. Biological Invasions, 21: 3505-3519",10.1007/s10530-019-02064-z,2019,PR57,OBS315,CHT108,CHT107,40.7097075,-77.9525614,Non-tropical,North America,USA,Cropland,Carduus acanthoides,Carduus acanthoides,SP08,Bee species richness,Richness,Pollinator,NA,NA,Non-woody,NA,,Actinomorphic,NA,,Purple/Pink,NA,,Insecta,Hymnoptera,Figure 1b,Experimental,Invaded vs Uninvaded,24,6.43,1.61666323,6,2.79,0.955301
"Russo et al., 2019. Biological Invasions, 21: 3505-3519",10.1007/s10530-019-02064-z,2019,PR57,OBS316,CHT109,CHT108,40.7097075,-77.9525614,Non-tropical,North America,USA,Cropland,Carduus acanthoides,Carduus acanthoides,SP08,Visitation rate to Helianthus annuus,Visitation rate,Pollination,Helianthus annuus,Helianthus annuus,Non-woody,Non-woody,Similar,Actinomorphic,Actinomorphic,Similar,Purple/Pink,Yellow,Dissimilar,Insecta,Hymnoptera,Figure 1c,Experimental,Invaded vs Uninvaded,24,0.03,0.06,6,0.034,0.045
"Russo et al., 2019. Biological Invasions, 21: 3505-3519",10.1007/s10530-019-02064-z,2019,PR57,OBS317,CHT110,CHT109,40.7097075,-77.9525614,Non-tropical,North America,USA,Cropland,Carduus acanthoides,Carduus acanthoides,SP08,Visitation rate to Chamaecrista fasciculata,Visitation rate,Pollination,Chamaecrista fasciculata,Chamaecrista fasciculata,Non-woody,Non-woody,Similar,Actinomorphic,Zygomorphic,Dissimilar,Purple/Pink,Yellow,Dissimilar,Insecta,Hymnoptera,Figure 1c,Experimental,Invaded vs Uninvaded,24,0.001,0.002,6,0.004,0.009
"Russo et al., 2019. Biological Invasions, 21: 3505-3519",10.1007/s10530-019-02064-z,2019,PR57,OBS318,CHT111,CHT110,40.7097075,-77.9525614,Non-tropical,North America,USA,Cropland,Carduus acanthoides,Carduus acanthoides,SP08,Visitation rate to Rudbeckia hirta,Visitation rate,Pollination,Rudbeckia hirta,Rudbeckia hirta,Non-woody,Non-woody,Similar,Actinomorphic,Actinomorphic,Similar,Purple/Pink,Yellow,Dissimilar,Insecta,Hymnoptera,Figure 1c,Experimental,Invaded vs Uninvaded,24,0.02,0.05,6,0.017,0.029
"Russo et al., 2019. Biological Invasions, 21: 3505-3519",10.1007/s10530-019-02064-z,2019,PR57,OBS319,CHT112,CHT111,40.7097075,-77.9525614,Non-tropical,North America,USA,Cropland,Carduus acanthoides,Carduus acanthoides,SP08,Visitation rate to Gaillardia pulchella,Visitation rate,Pollination,Gaillardia pulchella,Gaillardia pulchella,Non-woody,Non-woody,Similar,Actinomorphic,Actinomorphic,Similar,Purple/Pink,Yellow,Dissimilar,Insecta,Hymnoptera,Figure 1c,Experimental,Invaded vs Uninvaded,24,0.003,0.008,6,0,0
"Russo et al., 2019. Biological Invasions, 21: 3505-3519",10.1007/s10530-019-02064-z,2019,PR57,OBS320,CHT113,CHT112,40.7097075,-77.9525614,Non-tropical,North America,USA,Cropland,Carduus acanthoides,Carduus acanthoides,SP08,Visitation rate to Coreopsis tinctoria,Visitation rate,Pollination,Coreopsis tinctoria,Coreopsis tinctoria,Non-woody,Non-woody,Similar,Actinomorphic,Actinomorphic,Similar,Purple/Pink,Yellow,Dissimilar,Insecta,Hymnoptera,Figure 1c,Experimental,Invaded vs Uninvaded,24,0.014,0.013,6,0.01,0.019
"Ojija et al., 2019. Arthropod-Plant Interactions, 13: 719-734",10.1007/s11829-019-09701-3,2019,PR58,OBS321,CHT114,CHT113,-3.36666667,36.78333333,Tropical,Africa,Tanzania,Cropland,Parthenium hysterophorus,Parthenium hysterophorus,SP41,Numbers of arriving flower visitors to Ocimum gratissimum (Apis mellifera),Abundance,Pollinator,Ocimum gratissimum,Ocimum gratissimum,Non-woody,Woody,,,Zygomorphic,,Creamy-white,,,Insecta,Hymnoptera,Figure 3a,Observational,Invaded vs Uninvaded,5,65.02,33.3,5,129.65,11.23
"Ojija et al., 2019. Arthropod-Plant Interactions, 13: 719-734",10.1007/s11829-019-09701-3,2019,PR58,OBS322,CHT114,CHT113,-3.36666667,36.78333333,Tropical,Africa,Tanzania,Cropland,Parthenium hysterophorus,Parthenium hysterophorus,SP41,Numbers of arriving flower visitors to Ocimum gratissimum (Other bees),Abundance,Pollinator,Ocimum gratissimum,Ocimum gratissimum,Non-woody,Woody,,,Zygomorphic,,Creamy-white,,,Insecta,Hymnoptera,Figure 3a,Observational,Invaded vs Uninvaded,5,15.56,13.25,5,22.34,16.05
"Ojija et al., 2019. Arthropod-Plant Interactions, 13: 719-734",10.1007/s11829-019-09701-3,2019,PR58,OBS323,CHT114,CHT113,-3.36666667,36.78333333,Tropical,Africa,Tanzania,Cropland,Parthenium hysterophorus,Parthenium hysterophorus,SP41,Numbers of arriving flower visitors to Ocimum gratissimum (Wasps),Abundance,Pollinator,Ocimum gratissimum,Ocimum gratissimum,Non-woody,Woody,,,Zygomorphic,,Creamy-white,,,Insecta,Hymnoptera,Figure 3a,Observational,Invaded vs Uninvaded,5,4.39,4.41,5,8.77,5.59
"Ojija et al., 2019. Arthropod-Plant Interactions, 13: 719-734",10.1007/s11829-019-09701-3,2019,PR58,OBS324,CHT114,CHT113,-3.36666667,36.78333333,Tropical,Africa,Tanzania,Cropland,Parthenium hysterophorus,Parthenium hysterophorus,SP41,Numbers of arriving flower visitors to Ocimum gratissimum (Blisters),Abundance,Pollinator,Ocimum gratissimum,Ocimum gratissimum,Non-woody,Woody,,,Zygomorphic,,Creamy-white,,,Insecta,Coleoptera,Figure 3c,Observational,Invaded vs Uninvaded,5,4.97,2.02,5,10.78,5.54
"Ojija et al., 2019. Arthropod-Plant Interactions, 13: 719-734",10.1007/s11829-019-09701-3,2019,PR58,OBS325,CHT114,CHT113,-3.36666667,36.78333333,Tropical,Africa,Tanzania,Cropland,Parthenium hysterophorus,Parthenium hysterophorus,SP41,Numbers of arriving flower visitors to Ocimum gratissimum (Chafers),Abundance,Pollinator,Ocimum gratissimum,Ocimum gratissimum,Non-woody,Woody,,,Zygomorphic,,Creamy-white,,,Insecta,Coleoptera,Figure 3c,Observational,Invaded vs Uninvaded,5,1.77,1.51,5,1.38,2.99
"Ojija et al., 2019. Arthropod-Plant Interactions, 13: 719-734",10.1007/s11829-019-09701-3,2019,PR58,OBS326,CHT114,CHT113,-3.36666667,36.78333333,Tropical,Africa,Tanzania,Cropland,Parthenium hysterophorus,Parthenium hysterophorus,SP41,Numbers of arriving flower visitors to Ocimum gratissimum (Ladybirds),Abundance,Pollinator,Ocimum gratissimum,Ocimum gratissimum,Non-woody,Woody,,,Zygomorphic,,Creamy-white,,,Insecta,Coleoptera,Figure 3c,Observational,Invaded vs Uninvaded,5,3.8,5.05,5,10.38,5.01
"Ojija et al., 2019. Arthropod-Plant Interactions, 13: 719-734",10.1007/s11829-019-09701-3,2019,PR58,OBS327,CHT114,CHT113,-3.36666667,36.78333333,Tropical,Africa,Tanzania,Cropland,Parthenium hysterophorus,Parthenium hysterophorus,SP41,Numbers of arriving flower visitors to Ocimum gratissimum (Other beetles),Abundance,Pollinator,Ocimum gratissimum,Ocimum gratissimum,Non-woody,Woody,,,Zygomorphic,,Creamy-white,,,Insecta,Coleoptera,Figure 3c,Observational,Invaded vs Uninvaded,5,0.18,0.48,5,3.8,6.54
